origin,mqls,conversiones_reales,tasa_conv_pct,p_markov_canal,removal_effect,conversiones_atribuidas,atrib_first_touch,atrib_markov_norm,rank_tasa,rank_markov,rank_baseline
unknown,1099,179,16.29,0.162875,0.08719172974122638,73.4,179,4938.2,2,1,3
organic_search,2296,271,11.8,0.118031,0.048880731127248146,41.2,271,2768.4,4,2,1
paid_search,1586,195,12.3,0.122951,0.04158645276048671,35.0,195,2355.3,3,3,2
(not set),60,14,23.33,0.233333,0.009196035661463988,7.7,14,520.8,1,4,8
direct_traffic,499,56,11.22,0.112224,0.004408042185867485,3.7,56,249.7,5,5,5
other_publicities,65,3,4.62,0.046154,-0.004599410660771974,-3.9,3,-260.5,9,6,11
referral,284,24,8.45,0.084507,-0.007253948011358077,-6.1,24,-410.8,6,7,6
display,118,6,5.08,0.050847,-0.007738308839735444,-6.5,6,-438.3,8,8,9
other,150,4,2.67,0.026667,-0.014266847101553681,-12.0,4,-808.0,11,9,10
email,493,15,3.04,0.030426,-0.046687348075707145,-39.3,15,-2644.2,10,10,7
social,1350,75,5.56,0.055556,-0.09585034051320657,-80.7,75,-5428.6,7,11,4
