channel,removal_effect_full,removal_effect_sin_long,delta,rank_full,rank_short,rank_cambio
(not set),0.009196035661463988,0.010026292129922615,-0.0008302564684586275,4.0,5.0,True
direct_traffic,0.004408042185867485,0.010084401787317487,-0.005676359601450002,5.0,4.0,True
display,-0.007738308839735444,-0.00645956197332556,-0.0012787468664098838,8.0,8.0,False
email,-0.046687348075707145,-0.04808116723688766,0.0013938191611805179,10.0,10.0,False
organic_search,0.048880731127248146,0.04101412714676193,0.007866603980486213,2.0,2.0,False
other,-0.014266847101553681,-0.013588315320969279,-0.0006785317805844022,9.0,9.0,False
other_publicities,-0.004599410660771974,-0.003978800145145697,-0.0006206105156262775,6.0,6.0,False
paid_search,0.04158645276048671,0.02545224228316072,0.01613421047732599,3.0,3.0,False
referral,-0.007253948011358077,-0.005652668082184551,-0.001601279929173526,7.0,7.0,False
social,-0.09585034051320657,-0.10201235086260951,0.0061620103494029466,11.0,11.0,False
unknown,0.08719172974122638,0.1039401486505238,-0.016748418909297416,1.0,1.0,False
