from_state,(not set),Conversion,Non_Conversion,direct_traffic,display,email,organic_search,other,other_publicities,paid_search,referral,social,unknown
(not set),0.0,0.233333,0.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Start,0.0075,0.0,0.0,0.062375,0.01475,0.061625,0.287,0.01875,0.008125,0.19825,0.0355,0.16875,0.137375
direct_traffic,0.0,0.112224,0.887776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
display,0.0,0.050847,0.949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
email,0.0,0.030426,0.969574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
organic_search,0.0,0.118031,0.881969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,0.0,0.026667,0.973333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_publicities,0.0,0.046154,0.953846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paid_search,0.0,0.122951,0.877049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral,0.0,0.084507,0.915493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,0.0,0.055556,0.944444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,0.0,0.162875,0.837125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
